id	field	english_text	punjabi_translation
comp_001	input	Diabetes is a chronic medical condition in which the body is unable to properly regulate blood sugar levels. This occurs either because the pancreas does not produce enough insulin, or because the body's cells do not respond effectively to the insulin that is produced. Over time, poorly managed diabetes can lead to serious complications including heart disease, kidney failure, vision loss, and nerve damage.	
comp_001	reference_output	Diabetes is a chronic condition where the body cannot regulate blood sugar, leading to complications like heart disease, kidney failure, and nerve damage.	
comp_002	input	The process of photosynthesis is one of the most fundamental biological processes on Earth. It is the mechanism by which green plants, algae, and some bacteria convert light energy — primarily from the sun — into chemical energy stored in glucose. This process takes place primarily in the chloroplasts of plant cells, where the green pigment chlorophyll absorbs sunlight. During photosynthesis, carbon dioxide from the air and water from the soil are combined using this light energy to produce glucose and oxygen. The oxygen is released into the atmosphere as a byproduct, which is essential for the survival of most living organisms. Without photosynthesis, the food chains that sustain life on Earth would collapse entirely.	
comp_002	reference_output	Photosynthesis is the process by which plants use sunlight, carbon dioxide, and water to produce glucose and oxygen, sustaining virtually all life on Earth.	
comp_003	input	The old man sat by the window every evening, watching the sun disappear behind the hills. It had been his ritual for forty years, ever since his wife passed away on a cold winter night.	
comp_003	reference_output	For forty years, the old man watched the sunset each evening, a ritual born from his wife's death.	
comp_004	input	Washing your hands with soap and water for at least twenty seconds is one of the most effective and inexpensive ways to prevent the spread of infectious diseases, including the common cold, influenza, and gastrointestinal infections.	
comp_004	reference_output	Washing hands with soap for twenty seconds is a simple, effective way to prevent infectious diseases.	
comp_005	input	The French Revolution, which began in 1789 and lasted until 1799, was a period of radical political and societal transformation in France. It brought an end to the absolute monarchy, dismantled the feudal system, and established principles of liberty, equality, and popular sovereignty that would go on to influence democratic movements across the world for centuries. The revolution was driven by widespread discontent over social inequality, economic hardship, and the perceived tyranny of King Louis XVI.	
comp_005	reference_output	The French Revolution (1789–1799) ended monarchy and feudalism in France, establishing principles of liberty and equality that shaped global democratic movements.	
norm_001	input	gonna go 2 da library 2morrow nd study 4 my exam bcz i rly need 2 pass dis time lol	
norm_001	reference_output	I am going to go to the library tomorrow and study for my exam because I really need to pass this time.	
norm_002	input	doc said 2 take meds evry mornin b4 brkfast & drink lotsa water thru da day	
norm_002	reference_output	The doctor said to take medication every morning before breakfast and drink plenty of water throughout the day.	
norm_003	input	omg dis book is sooo gd i cudnt put it dwn!! da main char is amazin & da story goes thru sm twists u wont even blieve it... def reccomend 2 evry1 who luves good fiction	
norm_003	reference_output	This book is very good and I could not put it down. The main character is amazing and the story has so many twists that are hard to believe. I would definitely recommend it to everyone who loves good fiction.	
norm_004	input	tbh i dnt undrstnd y we gotta lrn calculus in skool wen we r nvr gonna use it irl... teach shud focus on stuff dat actually matrs 4 r future jobs n lyf	
norm_004	reference_output	To be honest, I do not understand why we have to learn calculus in school when we are never going to use it in real life. Teachers should focus on things that actually matter for our future jobs and lives.	
norm_005	input	my grandma's bp went rly hi lst nite so we rushed her 2 da hosp & they kept her 4 obsrvation ovrnite	
norm_005	reference_output	My grandmother's blood pressure went very high last night so we rushed her to the hospital and they kept her for observation overnight.	
noise_001	input	The  pashent shuld  taek ther medikation twyce dailly,,with fuul glas of watar.	
noise_001	reference_output	The patient should take their medication twice daily with a full glass of water.	
noise_002	input	Studants ar requierd too  submitt ther assinments b4 the dealine,,,laet submishons wil  not b acceptd witout propr justifikation.	
noise_002	reference_output	Students are required to submit their assignments before the deadline. Late submissions will not be accepted without proper justification.	
noise_003	input	Da old  worrior stud at da edg of da forrest,,his hert hevy wit greef nd memorees.	
noise_003	reference_output	The old warrior stood at the edge of the forest, his heart heavy with grief and memories.	
noise_004	input	Reguler excersise  helps  improov hart helth,,reduse stres,,an maintaen a helthy wieght Dokters rekomend at leest 30 minuts of moderete activety mostdays of da weak.	
noise_004	reference_output	Regular exercise helps improve heart health, reduce stress, and maintain a healthy weight. Doctors recommend at least 30 minutes of moderate activity on most days of the week.	
noise_005	input	Da univerrsity librery  provydz aksess too thousends of  digitl resurces inkluding reserch pappers,,ebooks,,and  akademik jurnals Studants kan aksess theese  resurces onnline using ther  studdent ID an pasword,,any tyme of da  day or nite.	
noise_005	reference_output	The university library provides access to thousands of digital resources including research papers, e-books, and academic journals. Students can access these resources online using their student ID and password at any time of the day or night.	
simp_001	input	Hypertension, commonly referred to as high blood pressure, is a chronic medical condition characterized by persistently elevated arterial blood pressure. It is frequently asymptomatic in its early stages, earning it the designation of a silent disease, yet if left unmanaged, it significantly increases the risk of cardiovascular events such as myocardial infarction and stroke.	
simp_001	reference_output	High blood pressure is when the pressure of blood in your arteries stays too high for a long time. It often has no symptoms, which is why people call it a silent disease. If not treated, it can cause serious problems like heart attacks and strokes.	
simp_002	input	Newton's second law of motion states that the rate of change of momentum of an object is directly proportional to the net external force applied to it and occurs in the direction in which the force is applied. Mathematically, this is expressed as F equals ma, where F denotes force, m denotes mass, and a denotes acceleration.	
simp_002	reference_output	Newton's second law says that the harder you push something, the faster it moves. If something is heavier, you need more force to make it move. The simple formula is: Force equals mass times acceleration.	
simp_003	input	The protagonist, beleaguered by the inexorable weight of existential despair, found himself incapable of reconciling his innermost aspirations with the immutable constraints imposed by his socioeconomic circumstances.	
simp_003	reference_output	The main character felt deeply sad and hopeless. He could not find a way to achieve his dreams because of the difficult life conditions he was born into.	
simp_004	input	Vaccination operates on the principle of immunological memory, whereby the introduction of an attenuated or inactivated pathogen, or a component thereof, stimulates the adaptive immune system to mount a primary immune response. This process results in the generation of memory B and T lymphocytes that persist in the body long after the initial antigenic exposure has resolved. Upon subsequent encounter with the same pathogen, these memory cells facilitate a rapid and amplified secondary immune response, thereby preventing the manifestation of clinical disease.	
simp_004	reference_output	A vaccine teaches your immune system to fight a specific disease. When you get a vaccine, your body learns to recognize the germ and creates special memory cells. Later, if the real germ enters your body, your immune system quickly recognizes it and fights it off before you get sick.	
simp_005	input	The mitochondrion is a double-membrane-bound organelle found in the cytoplasm of eukaryotic cells, primarily responsible for the synthesis of adenosine triphosphate through the process of oxidative phosphorylation.	
simp_005	reference_output	The mitochondria is a small part found inside cells. Its main job is to produce energy that the cell needs to work. That is why people often call it the powerhouse of the cell.	
style_001	input	Students are hereby informed that the submission deadline for the research assignment has been extended to the fifteenth of this month.	
style_001	reference_output	Hey everyone! Just letting you know that the deadline for the research assignment has been pushed to the 15th.	
style_002	input	You really gotta drink lots of water every day, like seriously, your body needs it to stay healthy and feel good.	
style_002	reference_output	It is strongly recommended that individuals maintain adequate daily hydration, as sufficient water intake is essential for optimal physiological functioning and overall well-being.	
style_003	input	The girl walked through the forest alone. She was scared but kept moving. The trees were tall and the path was dark.	
style_003	reference_output	The solitary girl traversed the dense woodland in a state of heightened trepidation, yet resolutely pressed forward. The towering trees cast long, foreboding shadows that enveloped the winding path in an unsettling darkness.	
style_004	input	The epistemological underpinnings of constructivist pedagogy assert that learners do not passively receive knowledge but actively construct meaning through experiential engagement and critical reflection upon prior cognitive frameworks.	
style_004	reference_output	Constructivist teaching believes that students learn best by doing things and thinking about their own experiences, not just by listening to a teacher talk.	
style_005	input	The soldier returned home after two years. His family was waiting at the door. They had not seen him since he left.	
style_005	reference_output	After two long, agonizing years, the soldier finally came home. His family stood trembling at the door, tears streaming down their faces, desperate to hold him again after what had felt like a lifetime apart.	
ctrl_001	input	The teacher explains the concept clearly and the students take notes carefully.	
ctrl_001	reference_output	The teacher explained the concept clearly and the students took notes carefully.	
ctrl_002	input	Patients who exercise regularly tend to recover faster from surgery. They should also maintain a balanced diet and get adequate sleep before the procedure.	
ctrl_002	reference_output	If you exercise regularly, you will tend to recover faster from surgery. You should also maintain a balanced diet and get adequate sleep before the procedure.	
ctrl_003	input	Ranjit rode his horse through the fields of Amritsar as the morning sun rose over the Golden Temple. He had promised Meera he would return before the harvest.	
ctrl_003	reference_output	The young man rode his horse through the fields of the city as the morning sun rose over the great temple. He had promised the woman he would return before the harvest.	
ctrl_004	input	The diagnosis was confirmed by the specialist after several tests were conducted. The patient was then referred to a nutritionist, and a treatment plan was developed by the medical team to address the underlying condition.	
ctrl_004	reference_output	The specialist confirmed the diagnosis after conducting several tests. The doctor then referred the patient to a nutritionist, and the medical team developed a treatment plan to address the underlying condition.	
ctrl_005	input	The school library opens at eight in the morning. It closes at six in the evening. Students can borrow up to five books at a time. Books must be returned within two weeks. Late returns will incur a small fine.	
ctrl_005	reference_output	The school library is open from eight in the morning to six in the evening, where students may borrow up to five books at a time. Books must be returned within two weeks or a fine will be charged.	
